time,symbol,timeframe,action,score,price,reasoning
2026-06-27T01:23:05.793Z,BTCUSDT,paper,OPEN_SHORT,0,59999.89,Paper LIMIT placed: 5× SHORT · margin $100.00
2026-06-27T01:22:56.120Z,BTC,4h,HOLD,13,59978.8,RSI 41.7 (+5) | MACD (+15) | Trend (-15)
2026-06-27T01:22:18.973Z,ZEC,4h,WEAK_BUY,18,419.03,MACD (+15) | Trend (-15)
2026-06-27T01:22:18.952Z,NES,4h,BUY,30,0.19723,RSI 25.9 (+20)
2026-06-27T01:22:18.639Z,FIL,4h,WEAK_BUY,18,0.742,MACD (+15) | Trend (-15)
2026-06-27T01:22:18.626Z,OP,4h,BUY,33,0.1048,MACD (+15)
2026-06-27T01:22:18.605Z,APT,4h,WEAK_SELL,-17,0.599,RSI 42.7 (+5) | MACD (-15) | Trend (-15)
2026-06-27T01:22:18.368Z,LTC,4h,WEAK_BUY,18,41.98,MACD (+15) | Trend (-15)
2026-06-27T01:22:18.274Z,NEAR,4h,WEAK_SELL,-17,1.803,RSI 31.0 (+5) | MACD (-15) | Trend (-15)
2026-06-27T01:22:18.267Z,UNI,4h,BUY,33,2.942,MACD (+15)
2026-06-27T01:22:17.913Z,BNB,4h,WEAK_BUY,18,566.3,MACD (+15) | Trend (-15)
2026-06-27T01:22:17.911Z,AVAX,4h,BUY,30,6.547,RSI 56.6 (-5) | MACD (+15)
2026-06-27T01:22:17.908Z,BCH,4h,WEAK_BUY,20,196.1,MACD (+15) | Trend (-15)
2026-06-27T01:22:17.563Z,ADA,4h,WEAK_BUY,18,0.1479,MACD (+15) | Trend (-15)
2026-06-27T01:22:17.560Z,TRX,4h,SELL,-31,0.32037,RSI 35.5 (+5) | MACD (-15) | Trend (-15)
2026-06-27T01:22:17.473Z,SOL,4h,WEAK_BUY,22,71.67,RSI 55.4 (-5) | MACD (+15)
2026-06-27T01:00:52.436Z,BTC,paper,CLOSE_LONG,0,60068.66,Paper MANUAL: ROE +9.49% on 20× LONG
2026-06-27T01:00:09.568Z,BTC,4h,HOLD,13,60061.02,RSI 42.1 (+5) | MACD (+15) | Trend (-15)
2026-06-27T00:59:02.769Z,NES,4h,BUY,30,0.1943,RSI 25.5 (+20)
2026-06-27T00:59:02.764Z,ZEC,4h,WEAK_BUY,18,420.73,MACD (+15) | Trend (-15)
